,DATE,PCND,DFND,PCSV,DFSV,nd.real,sv.real,c.real,c.lag,c.g
127,01-07-1978,455.62,37.608,769.856,26.983,12.11497554,28.53114924,40.64612478,40.34876336,0.007342754
128,01-10-1978,469.367,38.25,789.689,27.533,12.27103268,28.68154578,40.95257846,40.64612478,0.007511274
129,01-01-1979,484.59,39.316,809.273,27.925,12.32551633,28.98023277,41.3057491,40.95257846,0.008586919
130,01-04-1979,500.067,40.651,835.468,28.653,12.3014686,29.15813353,41.45960213,41.3057491,0.003717817
131,01-07-1979,522.347,41.97,858.589,29.335,12.44572314,29.26841657,41.7141397,41.45960213,0.006120643
132,01-10-1979,539.388,43.112,886.599,30.041,12.51131935,29.51296561,42.02428497,41.7141397,0.007407512
133,01-01-1980,559.946,44.777,910.301,30.792,12.50521473,29.56290595,42.06812068,42.02428497,0.001042561
134,01-04-1980,565.914,45.875,926.892,31.552,12.336,29.37664807,41.71264807,42.06812068,-0.008485831
135,01-07-1980,576.499,46.849,961.909,32.371,12.30547077,29.71514627,42.02061704,41.71264807,0.007355986
136,01-10-1980,591.25,47.86,1004.394,33.292,12.35374008,30.16922985,42.52296992,42.02061704,0.011884019
137,01-01-1981,614.044,49.27,1025.643,34.192,12.46283743,29.99657815,42.45941557,42.52296992,-0.001495707
138,01-04-1981,622.849,49.755,1053.74,34.891,12.51831977,30.20091141,42.71923118,42.45941557,0.006100506
139,01-07-1981,629.127,50.145,1077.047,35.657,12.54615615,30.20576605,42.7519222,42.71923118,0.00076496
140,01-10-1981,635.702,50.476,1101.901,36.402,12.59414375,30.27034229,42.86448604,42.7519222,0.002629494
141,01-01-1982,639.854,50.712,1127.862,37.065,12.61740811,30.42929988,43.04670799,42.86448604,0.004242107
142,01-04-1982,638.721,50.71,1151.697,37.638,12.59556301,30.59931452,43.19487753,43.04670799,0.003436154
143,01-07-1982,649.719,51.364,1183.846,38.392,12.64930691,30.83574703,43.48505394,43.19487753,0.006695379
144,01-10-1982,656.74,51.391,1224.459,39.104,12.77928042,31.31288359,44.09216401,43.48505394,0.013864788
145,01-01-1983,657.003,51.246,1258.678,39.669,12.82057136,31.72951171,44.55008307,44.09216401,0.010331939
146,01-04-1983,673.049,51.887,1286.806,40.011,12.97143793,32.16130564,45.13274357,44.55008307,0.012993986
147,01-07-1983,688.437,52.278,1329.097,40.724,13.1687708,32.63670072,45.80547152,45.13274357,0.014795545
148,01-10-1983,696.522,52.255,1356.704,41.146,13.32928906,32.97292568,46.30221474,45.80547152,0.010786245
149,01-01-1984,706.457,52.866,1380.27,41.676,13.36316347,33.11906133,46.4822248,46.30221474,0.003880183
150,01-04-1984,722.374,52.901,1412.233,42.308,13.65520501,33.37980997,47.03501497,46.4822248,0.011822347
151,01-07-1984,724.567,53.021,1446.882,42.809,13.66566078,33.79854703,47.46420781,47.03501497,0.009083584
152,01-10-1984,732.781,53.213,1475.175,43.171,13.77071392,34.17050798,47.9412219,47.46420781,0.00999981
153,01-01-1985,742.385,53.582,1525.616,43.852,13.85511926,34.7901122,48.64523145,47.9412219,0.01457807
154,01-04-1985,752.76,53.911,1555.754,44.311,13.96301311,35.10988242,49.07289554,48.64523145,0.00875307
155,01-07-1985,760.485,54.02,1597.213,44.888,14.07784154,35.58218232,49.66002386,49.07289554,0.011893404
156,01-10-1985,773.345,54.448,1622.303,45.231,14.20336835,35.8670602,50.07042855,49.66002386,0.008230325
157,01-01-1986,779.252,54.177,1652.771,45.892,14.38344685,36.0143598,50.39780665,50.07042855,0.00651707
158,01-04-1986,767.452,52.886,1676.713,46.277,14.5114397,36.23210234,50.74354204,50.39780665,0.006836704
159,01-07-1986,771.042,53.023,1700.452,46.542,14.54165174,36.53586008,51.07751182,50.74354204,0.006559959
160,01-10-1986,779.007,53.138,1732.668,46.909,14.66007377,36.93679251,51.59686628,51.07751182,0.010116621
161,01-01-1987,797.382,54.321,1767.634,47.091,14.67907439,37.53655688,52.21563127,51.59686628,0.01192096
162,01-04-1987,812.281,54.917,1801.948,47.534,14.79106652,37.90861278,52.6996793,52.21563127,0.00922747
163,01-07-1987,820.656,55.438,1836.16,48.009,14.80313143,38.24616218,53.0492936,52.6996793,0.006612179
164,01-10-1987,826.781,55.783,1874.186,48.527,14.82137927,38.62150968,53.44288895,53.0492936,0.007392038
165,01-01-1988,838.387,55.963,1923.07,49.123,14.98109465,39.14805692,54.12915157,53.44288895,0.012759299
166,01-04-1988,853.54,56.525,1964.954,49.752,15.10022114,39.49497508,54.59519622,54.12915157,0.008573011
167,01-07-1988,870.778,57.271,2020.733,50.407,15.20451887,40.08834091,55.29285977,54.59519622,0.012697885
168,01-10-1988,886.321,57.692,2062.056,51.01,15.36297927,40.42454421,55.78752348,55.29285977,0.008906469
169,01-01-1989,902.525,58.482,2101.195,51.627,15.43252625,40.69953706,56.13206331,55.78752348,0.006156937
170,01-04-1989,927.749,60.026,2132.674,52.191,15.45578583,40.86286908,56.3186549,56.13206331,0.003318641
171,01-07-1989,936.288,59.977,2167.474,52.696,15.61078413,41.13166085,56.74244498,56.3186549,0.007496691
172,01-10-1989,951.338,60.258,2210.469,53.239,15.78774603,41.51973178,57.3074778,56.74244498,0.009908598
173,01-01-1990,974.173,61.785,2248.382,53.874,15.76714413,41.73408323,57.50122736,57.3074778,0.003375175
174,01-04-1990,980.853,62.14,2304.16,54.548,15.78456711,42.24096209,58.02552919,57.50122736,0.009076779
175,01-07-1990,1003.106,63.447,2350.024,55.192,15.81014075,42.57906943,58.38921018,58.02552919,0.006248043
176,01-10-1990,1018.756,65.09,2368.207,55.752,15.65149793,42.47752547,58.1290234,58.38921018,-0.004466034
177,01-01-1991,1014.15,64.765,2387.721,56.254,15.65892071,42.445355,58.10427571,58.1290234,-0.000425828
