Date,Mkt-RF,SMB,HML,RF
198806,5.07123121,0.41782057,2.915761091,1.467110495
198809,-1.367739625,-1.41795795,3.636527649,1.729847656
198812,0.306286609,-2.72903603,1.375150338,1.820932905
198903,5.341040175,1.305086926,1.85080541,1.841149479
198906,6.369416758,-1.633403384,-0.117562609,2.18569658
198909,7.917228032,-3.27001228,-3.451765997,2.10457367
198912,-1.548863492,-6.800652172,-1.864451699,1.993077621
199003,-5.12207157,1.242559038,-1.457766903,1.790565794
199006,3.635017741,-1.670867245,-8.014454178,2.01335256
199009,-17.25149242,-10.10010649,2.311301847,1.952554928
199012,6.874058768,-4.449248646,-4.441568939,1.861399256
199103,15.19096709,12.08661452,-3.570912213,1.446906982
199106,-1.746193132,0.22841081,2.062093063,1.426701462
199109,4.962499949,2.285729972,-3.0000475,1.416634368
199112,7.565729872,-1.833631232,-6.28692745,1.194722224
199203,-2.179559935,8.297463279,15.22489298,0.963063237
199206,-0.998923114,-8.666073479,9.237103712,0.922818867
199209,2.505747261,-0.002605043,-1.761276464,0.832290096
199212,6.801565528,7.56139394,-1.118352784,0.741818481
199303,3.375291668,-1.243009147,14.04138962,0.701632265
199306,0.061085751,0.932416532,1.707707174,0.71167932
199309,3.233357137,4.391536661,2.33311935,0.75187556
199312,1.134991291,1.229524802,-1.246135299,0.701632265
199403,-4.544982757,1.875830869,1.907560065,0.731768417
199406,-1.804353503,-3.348406214,3.605188784,0.892637595
199409,4.472696806,2.415545742,-4.07526024,1.023444833
199412,-1.91782157,-2.056948444,-2.138027678,1.194712186
199503,7.805687946,-3.96945951,0.787831881,1.285459728
199506,7.929126368,0.021118944,1.657181797,1.456993167
199509,7.78419041,1.524881826,0.237282427,1.356080094
199512,3.434320022,-4.324406525,1.074735839,1.386344673
199603,4.376484423,0.510404746,-0.125615026,1.21488154
199606,3.277673778,4.239425771,-3.582064048,1.285459728
199609,1.476026013,-2.493990784,0.694489805,1.305637118
199612,5.34196625,-5.218317088,7.285812589,1.295547921
199703,-0.77857502,-5.048830768,7.40618602,1.275374547
199706,15.60544014,0.279932409,-2.755719679,1.295518796
199709,8.379660567,7.027688852,2.221537132,1.285466757
199712,0.374441232,-7.81482601,6.300466473,1.295533862
199803,12.30330666,-2.079212,-0.544685207,1.21488154
199806,0.74246433,-6.595379632,2.485896733,1.245130052
199809,-13.11031457,-10.28390662,-0.982323616,1.295545912
199812,20.66668969,-2.59730979,-9.514433829,1.01338977
199903,2.7022634,-9.041864525,-5.26522987,1.134240268
199906,6.617600091,10.8372824,1.21105408,1.114103032
199909,-7.47730872,4.74158183,-5.390002504,1.16449078
199912,18.16479404,7.021219292,-17.13821245,1.194710178
200003,2.66875124,6.18985831,-3.563313781,1.315719286
200006,-6.386042368,-0.318629084,0.407320982,1.3661492
200009,-1.343176311,-5.147066968,13.92716309,1.49741024
200012,-12.15101912,-5.566801504,26.19739822,1.57822028
200103,-13.96933558,6.132539901,14.32155786,1.345924618
200106,6.608054941,9.363568356,-2.702688011,0.993239494
200109,-16.92055482,-7.9588745,9.951323912,0.892640604
200112,11.95947029,12.08724137,-5.22159091,0.540959561
200203,0.386222182,4.310163293,7.07829575,0.400533237
200206,-13.2489959,6.91775522,5.792655027,0.420587273
200209,-17.27178685,-5.236274476,0.300023718,0.430616294
200212,7.685469594,-0.142659264,-4.424109808,0.370454185
200303,-3.359662356,1.944576939,-4.397291488,0.29028009
200306,16.3970058,7.034377609,1.422024688,0.29028009
200309,3.446152124,8.84004992,0.887148706,0.220161039
200312,12.12434823,1.61151192,6.150776154,0.220161039
200403,2.21284268,3.1032343,2.70530567,0.220159038
200406,1.165914755,-0.056878232,-1.65147897,0.220160038
200409,-2.446979968,-2.491473651,4.91906894,0.320341121
200412,9.671919825,4.357199545,1.098021812,0.420581264
