Date,Food ,Beer ,Smoke,Games,Books,Hshld,Clths,Hlth ,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal ,Oil  ,Util ,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin  ,Other
196706,6.543678408,4.502643598,1.999848328,13.55354153,-3.55731252,0.352426745,7.630653752,4.256718751,-0.558439181,3.824811087,2.663225324,2.676616299,6.316461381,8.125774708,3.157781787,16.73115356,12.96501405,12.1870659,1.361335645,-3.587042789,-2.920122026,16.27513878,9.224156251,-2.25208792,0.445327075,14.93665359,7.24390704,25.64638642,1.766577406,9.807413735
196709,6.72884515,1.788373585,1.178408722,13.66335825,6.175645037,9.553200594,19.18951751,7.494341905,9.703427064,22.69985642,13.9262991,8.841021995,10.36078945,18.97178748,13.60559546,-2.546655126,17.5690214,8.891208934,9.7805352,1.573356631,-6.680697,18.55624002,11.71273349,4.955065746,1.028703426,15.01939958,8.597214222,10.49898218,12.68995202,9.275328714
196712,0.031694336,-4.378626998,5.930261283,-1.51703899,-3.281026681,5.30614601,11.40626031,-2.187328455,-3.75256947,-2.094006772,-1.371222139,-5.917831026,-2.4923062,2.45932555,-0.832086039,2.895620196,-0.03602386,2.670929317,2.845699533,0.842682886,-3.277565083,22.14029355,8.413636937,2.038385141,-7.375938666,12.11730261,3.893909926,27.98625633,1.61572736,-1.284054832
196803,-2.968282111,-0.069798513,-0.700263611,-4.423881834,-7.013152735,-9.836022317,-0.899872554,-10.44196343,-9.585918798,-0.90098488,-3.523836831,-9.351299998,-10.64632893,-13.65515596,-7.693913278,-13.94454802,-4.714341395,-0.355376056,-2.84016892,-5.162539672,-0.897084928,-9.906041724,-8.828756422,-6.328311733,-11.0067808,-11.46256097,4.657147165,-8.889579489,0.807274897,-9.081067391
196806,17.64248732,11.95704397,10.65062674,18.33608437,17.6349218,11.18737086,27.18782884,18.23930285,8.007680539,16.3795317,20.22916757,13.44310617,16.3919924,15.06377792,12.01089704,10.43229776,10.50965753,26.24560408,8.811524906,11.6402867,5.674310238,24.31773413,14.21297973,19.67845198,20.87547556,27.04296643,15.69719894,35.2807456,27.94512582,20.41752755
196809,1.462077204,13.9083155,0.905808437,13.02712934,-1.939373129,-1.49138342,5.877083755,-2.62718698,8.556056105,12.21117072,13.32405105,2.093780483,4.230287396,0.892402536,6.197676464,-3.885985592,-4.637269798,3.34669184,10.43269187,-0.433372993,4.049100377,4.853883088,-2.412310029,5.712281916,5.770833232,0.507466254,4.675494861,6.737763526,16.14139646,8.425225189
196812,4.843748428,-0.631611654,15.42700821,1.408403454,-0.146314624,0.330207366,4.945407055,6.933076715,4.371391364,3.71167914,2.44078768,9.142038421,4.128387877,-1.184268304,-2.465008706,3.384058078,11.87008112,4.121079603,5.449783055,6.174566555,1.511133697,1.968597811,-2.52487757,6.279972414,3.310629147,14.07144756,-0.239015354,18.83799379,3.111666425,7.560127361
196903,-5.354815772,-3.878705282,-7.80968082,-8.211891192,-7.85951065,-2.46459707,-9.030889311,-2.197141145,-6.870986261,-14.80870309,-3.332601667,-3.180791122,-4.314833032,-2.495704956,0.676542,-11.81636805,-10.68228508,-11.89479772,1.11390224,-4.167712372,-2.570768672,-5.24265472,-2.859986665,1.9007913,-8.474370639,-12.0082474,1.879446585,-9.729809564,-5.510045106,-11.58955612
196906,-2.444954289,-4.229308183,-5.78714581,-10.8238499,-8.806852,3.410354259,-11.68732558,1.3545178,-9.115344575,-9.614309725,-10.50265166,-12.38816304,-10.58831691,-7.741735678,-5.368397,-18.43286766,-10.29973015,-19.52331074,-6.790255648,-4.457811383,4.538834868,-9.821121513,2.42472698,-4.904380259,-11.32126687,-17.95852522,0.260677504,-1.121408121,-8.644402299,-12.54548248
196909,-0.617468939,3.490435042,3.140335146,0.212813082,-2.923313132,0.57957149,-12.27670872,8.523788828,-6.442474331,-5.280855371,-2.715679354,-7.131411549,-6.50305073,-6.090530748,-6.049306814,-12.27454138,-3.317002866,10.01827702,-13.11590132,-8.196371499,-6.78835264,3.65997656,1.733641856,1.982393513,-9.152082986,-3.931688528,-1.440373562,-3.402458498,0.18525209,-8.980261043
196912,5.23573241,7.820293593,10.91151022,-4.145695816,0.178562424,4.801248341,-2.287123908,14.04213941,-3.897980031,-3.53243801,1.167596905,1.864590464,-1.094748123,4.148731515,-2.58313181,-8.583823373,-2.741269938,21.05334547,-8.581954498,1.917672932,-1.04884363,8.767824518,2.989404084,0.035516545,-11.29258432,-0.348816112,-0.939037563,0.794473444,-0.714142891,-4.616060328
197003,1.577949124,4.79469147,-5.405131922,-3.498687488,-13.23167382,-7.535582528,-3.101728512,-6.937289623,-2.461647782,1.237839181,-2.668613868,5.519166765,1.95634232,3.943937906,2.915696563,-9.304488706,2.56496319,12.78456174,-7.297046958,6.796264425,7.595250392,-12.69047205,-8.842738121,-4.309640181,-1.338703997,-10.97173238,-1.29669149,-13.59924601,0.159047846,-3.92788808
197006,-17.1894505,-17.19869267,7.331537472,-35.28108371,-35.91944999,-19.75737018,-28.54690804,-17.47474378,-8.496559983,-19.23188315,-23.59312112,-23.2354257,-24.05507091,-15.59429073,-16.20724924,-30.26925817,-17.4079834,-12.42919543,-8.955124494,-17.07754875,-19.64658766,-36.11788384,-31.74585459,-21.88685573,-30.72758665,-34.65530612,-21.68828894,-35.4944264,-23.77344856,-30.83965719
197009,10.56182658,8.5210252,4.70404448,30.20433688,27.98273422,15.97997298,30.11157731,12.30719945,12.86570078,22.58147958,22.40589034,7.867907,17.01744172,11.34147158,20.42042912,24.99034443,15.74829876,28.08923297,23.97946324,13.17230851,11.97560123,26.27207903,21.63284363,15.17836593,28.08082977,29.2997302,25.4448099,27.8027264,20.25018839,23.78038584
197012,13.63864121,2.348818943,24.69392651,7.871131479,12.67291294,10.62720795,12.73675803,8.804850654,10.18445216,14.17954353,6.525394585,4.070024067,11.51414553,7.66556599,11.61619007,-0.570784618,-1.085014562,22.23226797,10.32876794,16.25199094,9.126839937,0.585905855,4.87637756,5.610953448,8.800083896,1.467398748,11.92394946,7.593428636,7.595682624,5.137693375
197103,9.455244105,9.070979436,21.78934255,31.2670383,18.15290497,13.72759443,24.56826753,10.20608783,12.36791501,12.63104942,7.368647501,8.321029595,13.37615469,17.53652019,4.779074707,25.62750314,16.2114848,16.78057774,7.827468132,2.690913971,4.691962725,21.33606178,16.99292758,12.53423502,22.645326,26.73840621,18.81628937,24.243141,14.88315886,19.59398694
197106,1.345926349,0.892259615,-6.05705103,6.923751238,-1.953639952,6.170423546,-3.160638402,4.10110397,5.303148421,-9.749599245,-3.877940459,-5.686963773,0.949626839,7.62811334,2.052249529,1.224921875,0.35146297,-0.062918447,0.523091923,-3.113937145,-3.429265581,-0.99358383,-6.346316059,-1.118536782,3.944451088,0.49816832,3.48122,8.19521022,-3.253013268,-4.24007904
197109,1.728482976,-2.578019241,0.115202162,-5.4342793,3.054161174,2.135690685,-0.848849481,1.577661857,3.546879286,2.474925395,5.030309826,-6.963078263,2.749691757,3.229457561,6.615006817,-3.661617676,-10.08782766,-14.93145481,-4.80251769,-5.853899416,-3.661731089,-7.424300032,-5.102766121,-4.013570944,8.741893123,-2.26665229,3.755148552,-3.15511648,4.378930721,-0.841147254
197112,6.125881125,15.25309677,0.804050281,7.2447992,3.642898434,5.699646964,3.538550257,5.85296735,-1.709623376,-0.421525253,-2.028918729,-0.281634168,0.815133167,2.036949168,-0.276978844,4.339202682,-7.195491952,1.696603083,4.137499032,8.979675094,6.035836891,7.299466232,8.229941036,4.885273313,7.131687614,6.881695088,6.439812114,10.30030624,4.663087793,5.719624892
197203,4.308338134,7.017550722,18.07501757,16.57105309,5.79043475,14.54452014,4.892314404,10.44296738,9.770201404,9.009731624,5.806579299,11.78924089,8.624417314,9.004719305,7.80200648,14.9976711,15.38673739,-7.729075072,-2.784777459,-2.9480632,0.918291001,5.041284001,11.6123225,5.947623967,9.553613264,13.3768553,7.048280502,19.63753869,6.055497237,15.43551181
